ds,yhat,yhat_lower,yhat_upper
2011-11-04,443.20157956893524,370.56439759064165,510.67400939185626
2011-11-07,443.63107197293965,373.3575550685887,512.2207284217948
2011-11-08,443.50599233399424,374.04258352806283,510.4868144166671
2011-11-09,443.31098996339347,379.30375771734845,512.6957880594688
2011-11-10,444.0458085424869,375.08481805733334,509.7506343961247
2011-11-11,443.84420498271317,380.7416381467378,512.1878732058873
2011-11-14,444.82540955250374,372.9116595780281,509.60405349195275
2011-11-15,445.0075342504393,381.023515929141,511.92547467532125
2011-11-16,445.1702843573736,379.3594711416685,511.47926995341714
2011-11-17,446.3043681848602,380.10538137024736,514.07843422038
2011-11-18,446.53325470488454,382.1272590636312,514.100209612032
2011-11-21,448.87789029528625,379.5996441000453,519.4418902837666
2011-11-22,449.4981674188032,382.2670425387239,518.6173366099466
2011-11-23,450.0710430202712,378.80117898696886,517.4459469832091
2011-11-25,452.12716540165866,384.793688746579,519.1361573273012
2011-11-28,455.06600692652853,388.09309161420293,524.512737743407
2011-11-29,455.7431182866586,388.3242513261396,519.9649353613804
2011-11-30,456.29850472044103,390.4472828584199,522.7973022691358
2011-12-01,457.7127365612882,387.23956689115215,528.6259427639596
2011-12-02,458.10226443076766,384.71388298852014,526.0624360044211
2011-12-05,460.19200754161045,395.6990176904795,526.4415223156243
2011-12-06,460.49221220333413,393.43426093696166,524.9600272790865
2011-12-07,460.6409323603264,400.566992780025,523.2890479682236
2011-12-08,461.63041025476844,391.5440732100857,529.9213722700152
2011-12-09,461.5892105671344,391.98294353787315,529.6572994836866
2011-12-12,462.4712245322509,397.722794045705,534.9204555580551
2011-12-13,462.4343601017704,397.6430883772628,529.9403986319172
2011-12-14,462.29491988735543,395.8621996783411,529.3972646042943
2011-12-15,463.0527165418166,396.8889327356175,532.3288637910312
2011-12-16,462.8421399480389,397.5851114734856,529.834225767352
2011-12-19,463.61877186090743,392.1323435498658,534.1711651232737
2011-12-20,463.6803918173409,398.21175588354623,527.8558579873052
2011-12-21,463.70081892816864,394.4339467104214,532.1435758579755
2011-12-22,464.67374198024106,396.55557399578987,530.0639279393656
2011-12-23,464.72574989630033,399.48236565987264,531.4220007648989
2011-12-27,466.88868151651036,401.8664611970385,529.562974360295
2011-12-28,467.25212387053136,402.9951236662706,533.2035873189892
